district,month,month_dt,ASSI_before,ASSI_after,risk_probability_before,risk_probability_after
Ahilyanagar,2025-05,2025-05-01,26.94,26.94,0.010456537186334821,0.12467550619612867
Ahilyanagar,2025-06,2025-06-01,26.97,26.97,0.0040294073166691185,0.0040294073166691185
Ahilyanagar,2025-07,2025-07-01,26.97,26.97,0.006437437311513408,0.009170361028452333
Ahilyanagar,2025-08,2025-08-01,26.98,26.97,0.006437437311513408,0.03649635761270339
Ahilyanagar,2025-09,2025-09-01,26.99,26.99,0.005784233769141502,0.006437437311513408
Ahilyanagar,2025-10,2025-10-01,26.99,26.98,0.029943098606805208,0.057121739402764986
Ahilyanagar,2025-11,2025-11-01,27.08,27.07,0.005784233769141502,0.005784233769141502
Ahilyanagar,2025-12,2025-12-01,28.45,28.35,0.003486765506659401,0.003486765506659401
Ahilyanagar,2026-01,2026-01-01,26.02,26.01,0.11876184598901862,0.11876184598901862
Ahmadnagar,2025-03,2025-03-01,36.72,35.77,0.04322041448473534,0.04112471765663574
Ahmadnagar,2025-04,2025-04-01,29.17,28.66,0.9406977314194264,0.8950580062184436
Ahmadnagar,2025-05,2025-05-01,38.75,38.12,0.8805179181990304,0.7115665697477698
Ahmadnagar,2025-06,2025-06-01,41.21,40.27,0.2711460181602714,0.5585690464927567
Ahmadnagar,2025-07,2025-07-01,35.62,35.05,0.5502945121882049,0.5804522418025849
Ahmadnagar,2025-08,2025-08-01,36.47,35.84,0.7622476857878565,0.8263992886494753
Ahmadnagar,2025-09,2025-09-01,60.61,58.43,0.9771894318616533,0.9773952633511904
Ahmadnagar,2025-10,2025-10-01,48.64,47.05,0.9239787829127554,0.975526337426609
Ahmadnagar,2025-11,2025-11-01,70.46,67.35,0.21283074553397957,0.3524363130562865
Ahmadnagar,2025-12,2025-12-01,23.53,21.8,0.04136496477569551,0.2326902610800925
Ahmadnagar,2026-01,2026-01-01,26.52,26.36,0.19730267636575186,0.19730267636575186
Ahmed Nagar,2025-03,2025-03-01,26.98,26.98,0.010456537186334821,0.010456537186334821
Ahmed Nagar,2025-04,2025-04-01,26.98,26.98,0.06325332526317695,0.057121739402764986
Ahmed Nagar,2025-05,2025-05-01,27.05,27.04,0.0040294073166691185,0.005254476907970312
