state,district,month,enrolment_total,demo_updates_total,bio_updates_total,month_dt,total_updates,total_transactions,enroll_velocity,growth_acceleration,update_churn,center_load_density,enroll_velocity_norm,total_updates_norm,growth_acceleration_norm,center_load_density_norm,update_churn_norm,ASSI_raw,ASSI,StressCategory,high_stress,HighStressNextMonth,risk_probability_after
Maharashtra,Ahilyanagar,2025-05,0.0,0.0,22.0,2025-05-01,22.0,22.0,0.0,0.0,0.0,16.5,0.5170112752761873,0.00015661149670759923,0.700712835607737,6.543867129944314e-05,0.0,0.26944435461546606,26.94,🟢 Stable,0,0.0,0.12467550619612867
Maharashtra,Ahilyanagar,2025-06,0.0,0.0,102.0,2025-06-01,102.0,102.0,0.0,0.0,3.7695652173913046,76.5,0.5170112752761873,0.0007261078483715963,0.700712835607737,0.00031874965697470685,0.00041402561514878504,0.2696868291935057,26.97,🟢 Stable,0,0.0,0.0040294073166691185
Maharashtra,Ahilyanagar,2025-07,0.0,0.0,131.0,2025-07-01,131.0,131.0,0.0,0.0,1.0810679611650487,98.25,0.5170112752761873,0.0009325502758497954,0.700712835607737,0.00041057488928199,0.00011873778587885869,0.2697079204108308,26.97,🟢 Stable,0,0.0,0.009170361028452333
Maharashtra,Ahilyanagar,2025-08,0.0,0.0,149.0,2025-08-01,149.0,149.0,0.0,0.0,0.9594696969696971,111.75,0.5170112752761873,0.0010606869549741947,0.700712835607737,0.0004675698610589243,0.00010538218828839025,0.26974650048673987,26.97,🟢 Stable,0,0.0,0.03649635761270339
Maharashtra,Ahilyanagar,2025-09,0.0,0.0,196.0,2025-09-01,196.0,196.0,0.0,0.0,1.1106666666666667,147.0,0.5170112752761873,0.001395266061576793,0.700712835607737,0.0006163900651431417,0.00012198872373141979,0.2698549592743196,26.99,🟢 Stable,0,0.0,0.006437437311513408
Maharashtra,Ahilyanagar,2025-10,6.0,0.0,184.0,2025-10-01,184.0,190.0,6.0,6.0,0.7939086294416243,142.5,0.5170423366430945,0.0013098416088271935,0.700737745413482,0.000597391741217497,8.719798961429571e-05,0.26983828210530164,26.98,🟢 Stable,0,0.0,0.057121739402764986
Maharashtra,Ahilyanagar,2025-11,208.0,0.0,347.0,2025-11-01,347.0,555.0,202.0,196.0,1.5943243243243241,416.25,0.5180570079620637,0.0024701904253425877,0.7015265559287414,0.0017531231133608878,0.00017511067485439602,0.2707263458508321,27.07,🟢 Stable,0,0.0,0.005784233769141502
Maharashtra,Ahilyanagar,2025-12,3495.0,12.0,2460.0,2025-12-01,2472.0,5967.0,3287.0,3085.0,6.037931034482759,4475.25,0.5340277274468591,0.01759743726641751,0.713520627394974,0.01888961129429248,0.0006631688183147206,0.28354333367420503,28.35,🟢 Stable,0,0.0,0.003486765506659401
Maharashtra,Ahilyanagar,2026-01,329.0,12.0,12.0,2026-01-01,24.0,353.0,-3166.0,-6453.0,0.008249090173877881,264.75,0.5006212273381444,0.00017084890549919914,0.6739223395289556,0.001113512874530847,9.060287955493024e-07,0.260149649802201,26.01,🟢 Stable,0,,0.11876184598901862
Maharashtra,Ahmadnagar,2025-03,26263.0,0.0,33620.0,2025-03-01,33620.0,59883.0,0.0,0.0,0.0,44912.25,0.5170112752761873,0.23933084178679478,0.700712835607737,0.18960855009013647,0.0,0.35766937890081335,35.77,🟡 Watchlist,0,0.0,0.04112471765663574
Maharashtra,Ahmadnagar,2025-04,0.0,96.0,32285.0,2025-04-01,32381.0,32381.0,-26263.0,-26263.0,0.8186505457898337,24285.75,0.38105049542880215,0.23051076704039863,0.5916784642274432,0.10252656598962268,8.991548793181157e-05,0.2866184806844221,28.66,🟢 Stable,0,1.0,0.8950580062184436
Maharashtra,Ahmadnagar,2025-05,0.0,0.0,39894.0,2025-05-01,39894.0,39894.0,0.0,26263.0,1.047183620529924,29920.5,0.5170112752761873,0.2839935931660438,0.8097472069880308,0.12631563393185088,0.00011501614049900316,0.38116525601901646,38.12,🟡 Watchlist,1,1.0,0.7115665697477698
Maharashtra,Ahmadnagar,2025-06,0.0,1792.0,57336.0,2025-06-01,59128.0,59128.0,0.0,0.0,1.2597769144003008,44346.0,0.5170112752761873,0.4209147535148603,0.700712835607737,0.18721792766282616,0.00013836606660324019,0.4027275183787237,40.27,🟡 Watchlist,1,0.0,0.5585690464927567
